title;description
"DOKU: DA Antrag";"diplomarbeiten.berufsbildendeschulen.at"
"DOKU: 1. Diplomarbeit";"DA_2016-17_5BHEL_HofA_S1_S2_KurzT.pdf, Beauftragter"
"DOKU: 2. Diplomarbeit";"indiv. Zielsetzung-Gantt-Diagramm"
"DOKU: 3. Diplomarbeit";"Einleitung, Pflichtenheft"
"DOKU: 4. Diplomarbeit";"Grundlagen u. Methoden"
"DOKU: 5. Diplomarbeit";"Ergebnisse"
"DOKU: 6. Diplomarbeit";"Begleitprotokoll"
"DOKU: 7. Diplomarbeit";"Anhänge"
"DOKU: 1. Vorlagen";"Diplomarbeit"
"DOKU: 2. Vorlagen";"Begleitprotokoll"
"DOKU: 3. Vorlagen";"Besprechungsprotokoll"
"DOKU: 1. Individ. Themenstellung";"Titel,Inhalts-u.Literaturverzeichnis"
"DOKU: 2. Individ. Themenstellung";"Einleitung"
"DOKU: 3. Individ. Themenstellung";"Hauptteil"
"DOKU: 4. Individ. Themenstellung";"Ergebnisse,Abgabe"
"PJM: Tool-Wahl";"zur Projektverwaltung (agil:teamgantt,kanbanflow,taiga,...,shared folder)"
"PJM: Gantt-Diagramm erstellen";"s. Vorlagen"
"PJM: 1. Review-10";"Systemspezifikation,Pflichtenheft"
"PJM: 1. Review-11";"1. Prototyp"
"PJM: 2. Review-12";"1. Präsentation, Award-Teilnahmen"
"PJM: 3. Review-01";"TdOT"
"PJM: 4. Review-02";"Produkt/Ergebnis: Abnahmeprotokoll"
"PJM: 5. Review-03";"DA,DA-Verteidigung, Begleitprotokoll"
"ABGABE: DA-Verteidigung";"Vorbereitung"
"ABGABE: 1. Diplomarbeit";"Produkt/Ergebnis: Abnahmeprotokoll"
"ABGABE: 2. Diplomarbeit";"zur Kontrolle"
"ABGABE: 3. Diplomarbeit";"zur Benotung"
"BSP: 1. User Story:";"Marktstudie (inkl. Entscheidung"
"BSP: 2. User Story:";"Einarbeitung (openGL,..."
"BSP: 3. User Story:";"Gehäuse aussuchen"
"BSP: 4. User Story:";"Stromversorung"
"BSP: 5. User Story:";"Server: Install and Config"
"LAB: Projektverwaltung";"Scrum, Pflichtenheft, ..."
"LAB: ConfigurationManagement";"Versionsrwaltung mit git,..."
"LAB: Literaturrecherche";"Bibliothekenverbund, Zotero.org,..."  
"RECHT: Kooperationsvertrag";"nur wenn nötig"
